вакансия,ключевые навыки,опыт работы,зарплата,название компании,Звезды,кол-во отзывов
Менеджер по развитию (аналитик данных),"SQL,MS SQL,Power BI,Работа с базами данных,Бизнес-анализ",1–3 года,"от ,120 000, ,₽",Деловые Линии,,
Менеджер по развитию (аналитик данных),"MS SQL,Бизнес-анализ,PostgreSQL,Базы данных,Работа с базами данных,Power BI,Dax",1–3 года,"от ,120 000, ,₽",Деловые Линии,,
Эксперт цифрового аудита / аналитик данных,"SQL,Python,Hadoop,GreenPlum,Статистический анализ,ML-модели,IRBF",1–3 года,"от ,120 000, ,₽",Сбер для экспертов,"4,0",17825
Аналитик данных (IT),"SQL,SPARQL,Базы данных,СУБД,Моделирование баз данных,BPMN,UML,Работа с большим объемом информации,Работа с базами данных,Аналитическое мышление,Python,MongoDB,Анализ данных,Постановка задач разработчикам,JSONATA,Archimate,Проведение тестирований",3–6 лет,"от ,120 000, ,₽",ДатаФабрик,,
Аналитик-разработчик баз данных,"SQL,СУБД,ETL,Работа с базами данных,Аналитическое мышление",1–3 года,"от ,120 000, ,₽",ЛИГРЕС,"4,7",6
Аналитик данных,,1–3 года,"от ,120 000, ,₽",ГБУЗ ЦЛО ДЗМ,,
Аналитик маркетинговых данных,"SQL,Power BI,Google Analytics,Яндекс.Метрика,Веб-аналитика,Бизнес-анализ",1–3 года,"от ,120 000, до ,160 000, ,₽",IT-Agency,"4,8",12
Маркетолог-аналитик \ Аналитик данных,"MS Excel,Маркетинговый анализ,SQL,Анализ данных,WEB аналитика,Анализ бизнес показателей,Аналитика,Аналитические исследования,Power BI",3–6 лет,"от ,130 000, ,₽",ВФМ Технолоджи,,
Аналитик данных CRM,"CRM,MS SQL,Power BI,Английский — B2 — Средне-продвинутый",1–3 года,"до ,170 000, ,₽",AUXO (Атос АйТи Солюшенс энд Сервисез),"4,1",199
"Аналитик, Аналитик данных","Анализ данных,Прогнозирование,Аналитика,Аналитическое мышление,Статистический анализ,Работа с базами данных,Работа с большим объемом информации",1–3 года,"от ,125 000, ,₽",Рево Чардж Рус,"4,3",1
Руководитель отдела аналитики данных,"SQL,DWH,Power BI,Tableau,Анализ текущих финансовых показателей,Аналитика,Анализ бизнес показателей,Информационные технологии,Python",1–3 года,"от ,130 000, ,₽",Бетховен сеть зоомагазинов,"3,6",168
Аналитик данных,,3–6 лет,"от ,120 000, ,₽",Группа компаний РБЕ (RBE Group),"3,4",132
Аналитик данных,"Аналитическое мышление,Python,Математическая статистика,Machine Learning,Статистический анализ",3–6 лет,"от ,100 000, до ,200 000, ,₽",HIPER,,
Аналитик данных (BI),"Анализ данных,Аналитическое мышление,Бизнес-анализ,Анализ бизнес показателей,MS Power BI",3–6 лет,"от ,130 000, ,₽",ИНТРАТУЛ,"4,0",27
Аналитик данных (Специалист 1 категории),"Коммуникативная гибкость,Системность мышления,Критическое мышление,Способность к саморазвитию,Инициативность и лидерство",3–6 лет,"от ,137 000, ,₽",Ай-Пласт,"3,7",11
Аналитик данных/BI-аналитик,"SQL,JSON,ClickHouse,Node-RED,BI-инструменты,React,API",3–6 лет,"от ,150 000, до ,160 000, ,₽",Аметист Групп,"5,0",1
Специалист по работе с данными (Excel) / Аналитик баз данных,"Статистический анализ,Сбор и анализ информации,XML,Работа с базами данных,MS SQL,Работа с большим объемом информации,Аналитическое мышление,MS PowerPoint,Анализ данных,Базы данных",1–3 года,"от ,170 000, до ,170 000, ,₽",ЦУГАМ,,
Системный аналитик/Аналитик данных ML,"SQL,Python,BPMN,СУБД,Разработка технических заданий,Техническая документация,Mashine learning,Анализ данных",1–3 года,"от ,150 000, ,₽",Центр Информационных технологий Роскадастр-Инфотех Филиал Роскадастр,,
Аналитик баз данных,"Анализ данных,SQL,VBA",1–3 года,"до ,200 000, ,₽",PeptidPro,"4,2",4
Аналитик данных BI,"Python,Power BI,SQL",1–3 года,"до ,218 400, ,₽","Бристоль, сеть магазинов","3,4",1933
Аналитик баз данных,"TradeX,VPM,VBA,MS Excel,Power Query,Power Pivot,Аналитическое мышление,Анализ данных,Работа с базами данных,Работа с большим объемом информации",3–6 лет,"от ,150 000, ,₽",Frame Moscow,,
Аналитик данных (ИТ-компания) с карьерным ростом до зам. директора,"Аналитическое мышление,Анализ данных,Работа с большим объемом информации,MS Excel,MS PowerPoint,Английский язык",1–3 года,"от ,150 000, до ,200 000, ,₽",Рекрутер,,
Аналитик данных в отдел планирования и прогнозирования (data analyst / data scientist),,3–6 лет,"до ,218 400, ,₽","Бристоль, сеть магазинов","3,4",1933
Аналитик данных,"Python,SQL,Data Analysis,Аналитические исследования,Математическая статистика,Сбор и анализ информации,Анализ данных,Математический анализ,Базы данных,Big Data",1–3 года,"до ,220 000, ,₽",Rubbles,"4,0",14
Продуктовый аналитик/data analyst/аналитик данных,"Python,Математическая статистика,Математический анализ,Статистический анализ,Аналитическое мышление,SQL,Умение принимать решения,Анализ данных,Data Analysis,Аналитика,Английский — B1 — Средний",1–3 года,"от ,180 000, до ,200 000, ,₽",Платформа Больших Данных,"4,8",1
Аналитик данных (Senior/Middle),,3–6 лет,"от ,150 000, до ,250 000, ,₽",Таймлайн,,
BI-analyst \ Data analyst \ Аналитик данных (Senior),"Python,Статистический анализ,Прогнозирование,Математическая статистика,SQL,MS Excel,Pandas,Numpy",3–6 лет,"от ,180 000, ,₽",Займиго МФК,"4,6",13
Аналитик данных | Middle Data analyst,"Аналитическое мышление,Анализ данных,SQL,Data Analysis,Python,Clickhouse,Airflow,A/B тесты,PostgreSQL,Анализ бизнес показателей,MySQL,Работа с базами данных,Аналитика,Pandas",1–3 года,"от ,180 000, до ,250 000, ,₽",Зигмунд Онлайн,,
BI-analyst \ Data analyst \ Аналитик данных (Senior),"Python,Статистический анализ,Прогнозирование,Математическая статистика,SQL,MS Excel,Pandas,Numpy",3–6 лет,"от ,190 000, ,₽",Займиго МФК,"4,6",13
BI-analyst \ Data analyst \ Аналитик данных (Senior),"Python,Статистический анализ,Прогнозирование,Математическая статистика,SQL,MS Excel,Pandas,Numpy",3–6 лет,"от ,190 000, ,₽",Займиго МФК,"4,6",13
Аналитик данных,,1–3 года,"от ,180 000, ,₽",Эстилаб Рус,"5,0",7
Аналитик данных,"Управление проектами,Подготовка презентаций,Аналитическое мышление,Аналитические способности,Анализ данных,Python,Математическая статистика",3–6 лет,"от ,200 000, ,₽",Автономная Некоммерческая организация Агентство Креативных Индустрий,,
Ведущий аналитик данных / Начальник отдела,"Интеллектуальный анализ данных,SQL,API,Python,Математическая статистика",3–6 лет,"от ,200 000, ,₽",Московский городской педагогический университет (ГАОУ ВО МГПУ),"3,6",77
Бизнес-аналитик / Аналитик данных,,более 6 лет,"от ,200 000, до ,280 000, ,₽",Секонд Сайт,,
Аналитик данных / Аналитик DWH,"SQL,MS SQL,Базы данных,DWH,Power BI,Анализ данных,Анализ бизнес показателей,Аналитические способности,Работа с большим объемом информации,Статистический анализ,Работа с базами данных,Сводные таблицы,JSON,Аналитика,Сбор и анализ информации,Навыки составления отчетности,Аналитическое мышление",3–6 лет,"от ,200 000, до ,300 000, ,₽",INGURU.RU,,
Аналитик данных / Аналитик DWH,"SQL,MS SQL,Базы данных,DWH,Power BI,Анализ данных,Анализ бизнес показателей,Аналитические способности,Работа с большим объемом информации,Статистический анализ,Работа с базами данных,Сводные таблицы,JSON,Аналитика,Сбор и анализ информации,Навыки составления отчетности,Аналитическое мышление",3–6 лет,"от ,200 000, до ,300 000, ,₽",INGURU.RU,,
Аналитик данных / Аналитик DWH,"SQL,MS SQL,Базы данных,DWH,Power BI,Анализ данных,Анализ бизнес показателей,Аналитические способности,Работа с большим объемом информации,Статистический анализ,Работа с базами данных,Сводные таблицы,JSON,Аналитика,Сбор и анализ информации,Навыки составления отчетности,Аналитическое мышление",3–6 лет,"от ,200 000, до ,300 000, ,₽",INGURU.RU,,
Аналитик данных / Аналитик DWH,"SQL,MS SQL,Базы данных,DWH,Power BI,Анализ данных,Анализ бизнес показателей,Аналитические способности,Работа с большим объемом информации,Статистический анализ,Работа с базами данных,Сводные таблицы,JSON,Аналитика,Сбор и анализ информации,Навыки составления отчетности,Аналитическое мышление",3–6 лет,"от ,200 000, до ,300 000, ,₽",INGURU.RU,,
Аналитик данных / Аналитик DWH,"SQL,MS SQL,Базы данных,DWH,Power BI,Анализ данных,Анализ бизнес показателей,Аналитические способности,Работа с большим объемом информации,Статистический анализ,Работа с базами данных,Сводные таблицы,JSON,Аналитика,Сбор и анализ информации,Навыки составления отчетности,Аналитическое мышление",3–6 лет,"от ,200 000, до ,300 000, ,₽",INGURU.RU,,
Аналитик данных / Аналитик DWH,"SQL,MS SQL,Базы данных,DWH,Power BI,Анализ данных,Анализ бизнес показателей,Аналитические способности,Работа с большим объемом информации,Статистический анализ,Работа с базами данных,Сводные таблицы,JSON,Аналитика,Сбор и анализ информации,Навыки составления отчетности,Аналитическое мышление",3–6 лет,"от ,200 000, до ,300 000, ,₽",INGURU.RU,,
Лидер команды аналитики данных / Team Lead,"Data Vault,DWH,PowerDesigner,SQL,Arenadata,Green Plum,Airflow",более 6 лет,"до ,350 000, ,₽",HR Prime,"5,0",6
